"Episode ID"	"Cycle"	"Day"	"Second"	"Microsecond"	"tau1"
0	0	0	0	0	-5.240707458162173
0	1	0	0	40000	0.8845845059190367
0	2	0	0	80000	-2.6008966690384145
0	3	0	0	120000	2.0784007719238886
0	4	0	0	160000	2.5144060821610807
0	5	0	0	200000	-8.689422815203738
0	6	0	0	240000	-9.736640168902518
0	7	0	0	280000	6.749381641929201
0	8	0	0	320000	-4.812919713439847
0	9	0	0	360000	-5.3133807790660725
0	10	0	0	400000	9.912896710209257
0	11	0	0	440000	-0.5947298495510402
0	12	0	0	480000	6.729229025487776
0	13	0	0	520000	-0.47293582601330186
0	14	0	0	560000	2.7813628108832393
0	15	0	0	600000	-6.987671519529521
0	16	0	0	640000	2.6972131657037686
0	17	0	0	680000	7.360906142865936
0	18	0	0	720000	0.46362420766602597
0	19	0	0	760000	4.825037124029805
0	20	0	0	800000	3.428229507391851
0	21	0	0	840000	-8.719371235460054
0	22	0	0	880000	5.164604925736347
0	23	0	0	920000	1.8219916586263523
0	24	0	0	960000	-3.974646809685753
0	25	0	1	0	-9.379764970605
0	26	0	1	40000	7.310544739578912
0	27	0	1	80000	-0.5450182266906634
0	28	0	1	120000	4.376478481316061
0	29	0	1	160000	7.576256005109634
0	30	0	1	200000	4.28258967222405
0	31	0	1	240000	8.42197335167749
0	32	0	1	280000	-2.1007319199851215
0	33	0	1	320000	6.018175419704566
0	34	0	1	360000	-1.1075788789847874
0	35	0	1	400000	8.71173443409042
0	36	0	1	440000	7.577333206760834
0	37	0	1	480000	-8.050913805382455
0	38	0	1	520000	-7.280622795986622
0	39	0	1	560000	-5.660261175337253
0	40	0	1	600000	9.30960277796406
0	41	0	1	640000	-1.2767626674514148
0	42	0	1	680000	2.5329658173360787
0	43	0	1	720000	-3.9794760314898925
0	44	0	1	760000	0.14485967658119137
0	45	0	1	800000	-2.2826748231019494
0	46	0	1	840000	-2.9817902245963985
0	47	0	1	880000	1.701482148107269
0	48	0	1	920000	1.6850358594039783
0	49	0	1	960000	8.084035416955501
0	50	0	2	0	3.6396427326993326
0	51	0	2	40000	8.578912024000338
0	52	0	2	80000	7.128011327935113
0	53	0	2	120000	9.819792897376303
0	54	0	2	160000	3.4254708432503644
0	55	0	2	200000	-6.738007560578605
0	56	0	2	240000	7.212750662325366
0	57	0	2	280000	9.292658946181227
0	58	0	2	320000	8.093919690244732
0	59	0	2	360000	1.3821500694864692
0	60	0	2	400000	4.276340403483985
0	61	0	2	440000	-5.777500326488035
0	62	0	2	480000	6.632158605467083
0	63	0	2	520000	1.470647047025695
0	64	0	2	560000	-4.300850760275896
0	65	0	2	600000	-8.730788457095413
